Ground Truth File,Predicted File,Mean Total Length Error,Mean Scheduling Order Error
156_results_output.csv,156_results_output.csv,0.39977490517026026,0.3637525678808292
77_results_output.csv,77_results_output.csv,0.3571602167428306,0.2365831336119016
39_results_output.csv,39_results_output.csv,0.046726980272294695,0.01702966203132213
29_results_output.csv,29_results_output.csv,0.09350602985224318,0.018013719518314077
65_results_output.csv,65_results_output.csv,0.08718037479435226,0.07836358444139417
42_results_output.csv,42_results_output.csv,0.10649358652375233,0.08638771801266011
41_results_output.csv,41_results_output.csv,0.12858768675263071,0.15536376932533838
130_results_output.csv,130_results_output.csv,0.15411949070327538,0.16170917786910638
138_results_output.csv,138_results_output.csv,0.4152967889140765,0.4152967889140765
85_results_output.csv,85_results_output.csv,0.17944780957724607,0.07152031323283595
23_results_output.csv,23_results_output.csv,0.18708634884805067,0.13822112451899599
128_results_output.csv,128_results_output.csv,0.36168573044205277,0.27525081185121847
69_results_output.csv,69_results_output.csv,0.4405966223686238,0.4405966223686238
4_results_output.csv,4_results_output.csv,0.1535634204460797,0.11831933747096748
117_results_output.csv,117_results_output.csv,0.2910712109733228,0.219945246061613
62_results_output.csv,62_results_output.csv,0.13667665513082677,0.09362846457324273
102_results_output.csv,102_results_output.csv,0.2882970252826135,0.2600968666450286
61_results_output.csv,61_results_output.csv,0.22764846779369444,0.17905813224631503
89_results_output.csv,89_results_output.csv,0.1757188010672792,0.12646501750668876
119_results_output.csv,119_results_output.csv,0.14822099824306037,0.11558586550150082
7_results_output.csv,7_results_output.csv,0.1171649341200242,0.06065917330079744
108_results_output.csv,108_results_output.csv,0.10215778363731534,0.038601161177966505
107_results_output.csv,107_results_output.csv,0.22988966180127757,0.22678154122341282
38_results_output.csv,38_results_output.csv,0.1610279209360869,0.12537119719904602
161_results_output.csv,161_results_output.csv,0.30931653190959624,0.20987341923529007
118_results_output.csv,118_results_output.csv,0.380584912345462,0.380584912345462
47_results_output.csv,47_results_output.csv,0.150266128721243,0.10757024146328628
135_results_output.csv,135_results_output.csv,0.32431617065386265,0.30764072368781703
55_results_output.csv,55_results_output.csv,0.15349959463438267,0.0681671787091095
113_results_output.csv,113_results_output.csv,0.4465402957332899,0.4465402957332899
177_results_output.csv,177_results_output.csv,0.3541974700688329,0.3541974700688329
